Key	ko	en	qps-long
controls.camp.gamepad	{0} · 왼쪽 스틱 이동 · X 가까운 설비 사용(1.25m)\n방향 패드+A 행동 · 완공 설비 무료 재배치 · Y 언어	{0} · Left stick move · X use nearby facility (1.25m)\nD-pad+A action · Built facilities move free · Y language	⟦{0} · Léft stíck móvé · X úsé ñéárby fácílíty (1.25m)\nD-pád+A áctíóñ · Búílt fácílítíés móvé fréé · Y láñgúágéáéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡⟧
controls.camp.popup.keyboard_mouse	{0} · 방향키로 행동 선택 · Enter 확인\nEsc 취소 · 이동 잠김 · F1 언어	{0} · Arrow keys select · Enter confirm\nEsc cancel · Movement locked · F1 language	⟦{0} · Árrów kéys séléct · Enter cóñfírm\nÉsc cáñcél · Móvéméñt lóckéd · F1 láñgúágéáéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡áéíóúü⟧
controls.camp.popup.gamepad	{0} · 방향 패드로 행동 선택 · A 확인\nB 취소 · 이동 잠김 · Y 언어	{0} · D-pad select · A confirm\nB cancel · Movement locked · Y language	⟦{0} · D-pad séléct · A cóñfírm\nB cáñcél · Móvéméñt lóckéd · Y láñgúágéáéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡á⟧
camp.interaction.prompt.keyboard_mouse	[E] {0} 사용	[E] Use {0}	⟦[E] Úsé {0}áéí⟧
camp.interaction.prompt.gamepad	[X] {0} 사용	[X] Use {0}	⟦[X] Úsé {0}áéí⟧
camp.popup.title	{0}	{0}	{0}¿
camp.popup.detail.campfire	먹거나 오늘의 생존 준비를 하고, 설치 위치를 다시 잡는다.	Eat, prepare today's survival bonus, or move the installation.	⟦Éát, prépáré tódáy's súrvívál bóñús, ór móvé thé íñstállátíóñ.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúü⟧
camp.popup.detail.workbench	제작·연구·수리·가방 확장은 이 작업대에서만 한다.	Craft, research, repair, and upgrade the bag at this workbench.	⟦Cráft, réséárch, répáír, áñd úpgrádé thé bág át thís wórkbéñch.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúü⟧
camp.popup.detail.rain	탁 트인 하늘 아래에서 빗물을 받아 오늘의 회복을 준비한다.	Collect rain under open sky to prepare today's recovery.	⟦Cólléct ráíñ úñdér ópéñ sky tó prépáré tódáy's récóvéry.áéíóúüñ¿¡áéíóúüñ¿¡áéíó⟧
camp.popup.detail.signal	전용 앵커의 구조 신호대에 단계별 자원을 투입한다.	Invest stage resources in the rescue signal at its dedicated anchor.	⟦Íñvést stágé résóúrcés íñ thé réscúé sígñál át íts dédícátéd áñchór.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡⟧
camp.popup.detail.generic	이 설비의 행동을 선택한다.	Choose an action owned by this facility.	⟦Chóósé áñ áctíóñ ówñéd by thís fácílíty.áéíóúüñ¿¡áéíóúü⟧
controls.explore	{0} · A/D 또는 스틱 이동 · 해안에서 자동 수영 · Space/A 점프 · E/X 수색 · R/B 귀환 · F1/Y 언어	{0} · A/D or stick move · Auto-swim at shore · Space/A jump · E/X search · R/B return · F1/Y language	⟦{0} · A/D ór stíck móvé · Áútó-swím át shóré · Space/A júmp · E/X séárch · R/B rétúrñ · F1/Y láñgúágéáéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡áéíó⟧
controls.explore.keyboard_mouse	{0} · A/D 이동 · 해안 자동 수영 · Space 점프 · E 수색 · R 귀환\n가방 교체 1–{1} · Esc 포기 · F1 언어	{0} · A/D move · Auto-swim · Space jump · E search · R return\nReplace bag 1–{1} · Esc discard · F1 language	⟦{0} · A/D móvé · Áútó-swím · Space júmp · E séárch · R rétúrñ\nRéplácé bág 1–{1} · Esc díscárd · F1 láñgúágéáéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ⟧
controls.explore.gamepad	{0} · 스틱 이동 · 해안 자동 수영 · A 점프 · X 수색 · B 귀환\n교체 창 방향키+A ({1}칸) · B 포기 · Y 언어	{0} · Stick move · Auto-swim · A jump · X search · B return\nReplace: D-pad+A ({1} slots) · B discard · Y language	⟦{0} · Stíck móvé · Áútó-swím · A júmp · X séárch · B rétúrñ\nRéplácé: D-pad+A ({1} slóts) · B díscárd · Y láñgúágéáéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡á⟧
bag.camp	캠프 창고 · 가방 {0}/{1}	Camp Storage · Bag {0}/{1}	⟦Cámp Stórágé · Bág {0}/{1}áéíóúüñ¿¡⟧
bag.pending	가방 {0}/{1} 가득 참\n교체할 칸 선택 · 취소 시 포기	Bag {0}/{1} Full\nChoose a slot · Cancel to discard	⟦Bág {0}/{1} Fúll\nChóósé á slót · Cáñcél tó díscárdáéíóúüñ¿¡áéíóúüñ¿¡á⟧
bag.exploring	수색 가방 {0}/{1}\n한 묶음 최대 2개	Expedition Bag {0}/{1}\nMaximum 2 per stack	⟦Éxpédítíóñ Bág {0}/{1}\nMáxímúm 2 pér stáckáéíóúüñ¿¡áéíóúüñ⟧
bag.slot.empty	{0}. 빈칸	{0}. Empty	⟦{0}. Émptyáé⟧
bag.slot.stack	{0}. {1} ×{2}	{0}. {1} ×{2}	⟦{0}. {1} ×{2}áéí⟧
bag.slot.locked	{0}. 잠김	{0}. Locked	⟦{0}. Lóckédáéí⟧
button.campfire.relocate	↔ 모닥불 무료 재배치	↔ Move Campfire Free	⟦↔ Móvé Cámpfíré Frééáéíóúü⟧
button.campfire.build	모닥불 건설  나무2·돌1	Build Campfire  Wood 2 · Stone 1	⟦Búíld Cámpfíré  Wóód 2 · Stóñé 1áéíóúüñ¿¡áé⟧
button.workbench.relocate	↔ 작업대 무료 재배치	↔ Move Workbench Free	⟦↔ Móvé Wórkbéñch Frééáéíóúüñ⟧
button.workbench.build	작업대 건설  나무2·표류물1	Build Workbench  Wood 2 · Salvage 1	⟦Búíld Wórkbéñch  Wóód 2 · Sálvágé 1áéíóúüñ¿¡áéíó⟧
button.rain.relocate	↔ 빗물받이 무료 재배치	↔ Move Rain Collector Free	⟦↔ Móvé Ráíñ Cólléctór Frééáéíóúüñ¿¡⟧
button.rain.build	빗물받이  나무2·돌1·표류물1	Rain Collector  Wood 2 · Stone 1 · Salvage 1	⟦Ráíñ Cólléctór  Wóód 2 · Stóñé 1 · Sálvágé 1áéíóúüñ¿¡áéíóúüñ⟧
button.research.axe.done	[완료] 돌도끼 연구	[Done] Stone Axe Researched	⟦[Done] Stóñé Áxé Réséárchédáéíóúüñ¿¡⟧
button.research.axe	돌도끼 연구  돌1·표류물1	Research Stone Axe  Stone 1 · Salvage 1	⟦Réséárch Stóñé Áxé  Stóñé 1 · Sálvágé 1áéíóúüñ¿¡áéíóú⟧
button.craft.axe.done	[완료] 돌도끼 보유	[Done] Stone Axe Owned	⟦[Done] Stóñé Áxé Ówñédáéíóúüñ⟧
button.craft.axe	돌도끼 제작  나무1·돌1	Craft Stone Axe  Wood 1 · Stone 1	⟦Cráft Stóñé Áxé  Wóód 1 · Stóñé 1áéíóúüñ¿¡áéí⟧
button.research.rope.done	[완료] 밧줄 연구	[Done] Rope Researched	⟦[Done] Rópé Réséárchédáéíóúüñ⟧
button.research.rope	밧줄 연구  표류물1	Research Rope  Salvage 1	⟦Réséárch Rópé  Sálvágé 1áéíóúüñ¿⟧
button.craft.rope.done	[완료] 밧줄 보유	[Done] Rope Owned	⟦[Done] Rópé Ówñédáéíóú⟧
button.craft.rope	밧줄 제작  나무1·표류물1	Craft Rope  Wood 1 · Salvage 1	⟦Cráft Rópé  Wóód 1 · Sálvágé 1áéíóúüñ¿¡áé⟧
button.signal.done	[완료] 구조 신호 발신	[Done] Rescue Signal Sent	⟦[Done] Réscúé Sígñál Séñtáéíóúüñ¿¡⟧
button.signal.progress	구조 신호대 {0}/2  나무2·표류물2	Rescue Signal {0}/2  Wood 2 · Salvage 2	⟦Réscúé Sígñál {0}/2  Wóód 2 · Sálvágé 2áéíóúüñ¿¡áéíóú⟧
button.signal.stage1	신호1 · 작업대:{0}\n나무:{1}/2 표류물:{2}/2	Signal 1 Workbench:{0}\nWood:{1}/2 Salvage:{2}/2	⟦Sígñál 1 Wórkbéñch:{0}\nWóód:{1}/2 Sálvágé:{2}/2áéíóúüñ¿¡áéíóúüñ¿¡⟧
button.signal.stage2	신호2 · 밧줄:{0}\n나무:{1}/2 표류물:{2}/2	Signal 2 Rope:{0}\nWood:{1}/2 Salvage:{2}/2	⟦Sígñál 2 Rópé:{0}\nWóód:{1}/2 Sálvágé:{2}/2áéíóúüñ¿¡áéíóúüñ⟧
button.bag_upgrade.locked	가방 확장 {0}→{1}\n작업대 필요	Bag Upgrade {0}→{1}\nWorkbench Required	⟦Bág Úpgrádé {0}→{1}\nWórkbéñch Réqúírédáéíóúüñ¿¡áéíóú⟧
button.bag_upgrade.available	가방 확장 {0}→{1}\n나무 {2}/{3} · 표류물 {4}/{5}	Bag Upgrade {0}→{1}\nWood {2}/{3} · Salvage {4}/{5}	⟦Bág Úpgrádé {0}→{1}\nWóód {2}/{3} · Sálvágé {4}/{5}áéíóúüñ¿¡áéíóúüñ¿¡á⟧
button.bag_upgrade.complete	[완료] 가방 {0}칸	[Done] Bag · {0} Slots	⟦[Done] Bág · {0} Slótsáéíóúüñ⟧
button.eat	식량 먹기  보유 {0}	Eat Food  Owned {0}	⟦Éát Fóód  Ówñéd {0}áéíóúü⟧
button.campfire.prepare	오늘 생존 준비	Prepare Today's Survival	⟦Prépáré Tódáy's Súrvíváláéíóúüñ¿⟧
button.campfire.prepare.done	[완료] 오늘 생존 준비	[Done] Survival Prepared	⟦[Done] Súrvívál Prépárédáéíóúüñ¿⟧
button.rain.collect	오늘 빗물 받기	Collect Today's Rain	⟦Cólléct Tódáy's Ráíñáéíóúü⟧
button.rain.collect.done	[완료] 오늘 빗물 받음	[Done] Rain Collected	⟦[Done] Ráíñ Cólléctédáéíóúüñ⟧
button.workbench.repair	설비 수리 점검	Inspect & Repair	⟦Íñspéct & Répáíráéíóú⟧
button.popup.cancel	닫기 · 현장 복귀	Close · Return to Camp	⟦Clósé · Rétúrñ tó Cámpáéíóúüñ⟧
button.day.final	마지막 날 정산	Settle Final Day	⟦Séttlé Fíñál Dáyáéíóú⟧
button.day.next	다음 날로	Next Day	⟦Ñéxt Dáyá⟧
button.search.start	섬 수색 출발	Start Expedition	⟦Stárt Éxpédítíóñáéíóú⟧
device.keyboard_mouse	키보드·마우스	Keyboard & Mouse	⟦Kéybóárd & Móúséáéíóú⟧
device.gamepad	게임패드	Gamepad	⟦Gámépádá⟧
value.yes	보유	Owned	⟦Ówñéd⟧
value.no	없음	None	⟦Ñóñé⟧
resource.wood	나무	Wood	⟦Wóód⟧
resource.stone	돌	Stone	⟦Stóñé⟧
resource.food	식량	Food	⟦Fóód⟧
resource.salvage	표류물	Salvage	⟦Sálvágéá⟧
structure.campfire	모닥불	Campfire	⟦Cámpfíréá⟧
structure.workbench	작업대	Workbench	⟦Wórkbéñcháé⟧
structure.rain_collector	빗물받이	Rain Collector	⟦Ráíñ Cólléctóráéíó⟧
structure.rescue_signal	구조 신호대	Rescue Signal	⟦Réscúé Sígñáláéí⟧
structure.generic	설비	Facility	⟦Fácílítyá⟧
world.build_zone	일반 설비\n0.5m 바닥 스냅	General Facilities\n0.5m Floor Snap	⟦Géñérál Fácílítíés\n0.5m Flóór Sñápáéíóúüñ¿¡áéíó⟧
world.general_ground	일반 설비 구역\n0.5m 바닥 스냅	General Facility Ground\n0.5m Floor Snap	⟦Géñérál Fácílíty Gróúñd\n0.5m Flóór Sñápáéíóúüñ¿¡áéíóúü⟧
world.open_sky_ground	빗물받이 전용\n탁 트인 하늘 구역	Rain Collector Only\nOpen-Sky Ground	⟦Ráíñ Cólléctór Óñly\nÓpéñ-Sky Gróúñdáéíóúüñ¿¡áéíó⟧
world.entrance	출입구\n보호	Keep Entrance\nClear	⟦Kéép Éñtráñcé\nCléáráéíóúü⟧
world.required_path	필수 통로	Required Path	⟦Réqúíréd Pátháéí⟧
world.signal_anchor	전용 앵커 · 신호대 {0}/2	Dedicated Anchor · Signal {0}/2	⟦Dédícátéd Áñchór · Sígñál {0}/2áéíóúüñ¿¡áé⟧
world.return	CAMP	CAMP	⟦CÁMP⟧
world.rope.pass	밧줄로 통과	Cross with Rope	⟦Cróss wíth Rópéáéíó⟧
world.rope.need	밧줄 필요	Rope Required	⟦Rópé Réqúírédáéí⟧
world.barrier.axe.pass	돌도끼로 장벽 제거	Clear Barrier with Stone Axe	⟦Cléár Bárríér wíth Stóñé Áxéáéíóúüñ¿¡á⟧
world.barrier.axe.need	돌도끼 필요\n덩굴·나무 장벽	Stone Axe Required\nVine & Wood Barrier	⟦Stóñé Áxé Réqúíréd\nVíñé & Wóód Bárríéráéíóúüñ¿¡áéíóú⟧
world.resource.land	{0} ×{1}	{0} ×{1}	⟦{0} ×{1}á⟧
world.resource.water	헤엄쳐 수색\n{0} ×{1}	Swim to Search\n{0} ×{1}	⟦Swím tó Séárch\n{0} ×{1}áéíóúüñ¿⟧
world.structure.relocate	{0}\n↔ 무료 재배치	{0}\n↔ Move Free	⟦{0}\n↔ Móvé Frééáéíóú⟧
world.placement.valid	{0}\n설치 가능	{0}\nValid Placement	⟦{0}\nVálíd Plácéméñtáéíóúü⟧
world.placement.invalid	{0}\n설치 불가	{0}\nInvalid Placement	⟦{0}\nÍñválíd Plácéméñtáéíóúüñ⟧
world.kim	김씨	Mr. Kim	⟦Mr. Kímá⟧
placement.valid.build	{0} 배치 가능 · 0.5m 바닥 스냅	Place {0} · 0.5m floor snap	⟦Plácé {0} · 0.5m flóór sñápáéíóúüñ¿¡⟧
placement.valid.relocate	{0} 재배치 가능 · 0.5m 바닥 스냅	Move {0} · 0.5m floor snap	⟦Móvé {0} · 0.5m flóór sñápáéíóúüñ¿¡⟧
placement.outside	캠프의 호환 건설 구역 밖에는 놓을 수 없다.	Keep it inside the compatible camp build area.	⟦Kéép ít íñsídé thé cómpátíblé cámp búíld áréá.áéíóúüñ¿¡áéíóúüñ¿⟧
placement.wrong_zone	{0}은(는) 지정된 호환 바닥에만 놓을 수 있다.	{0} must stay on its compatible ground zone.	⟦{0} múst stáy óñ íts cómpátíblé gróúñd zóñé.áéíóúüñ¿¡áéíóúüñ⟧
placement.overlap	다른 설비와 겹친다. 김씨도 물건을 포개 쓰지는 않는다.	It overlaps another facility. Even Mr. Kim does not stack furniture.	⟦Ít óvérláps áñóthér fácílíty. Évéñ Mr. Kím dóés ñót stáck fúrñítúré.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡⟧
placement.entrance	캠프 출입구를 막을 수 없다.	The camp entrance must stay clear.	⟦Thé cámp éñtráñcé múst stáy cléár.áéíóúüñ¿¡áéí⟧
placement.path	필수 이동 통로를 비워 둬야 한다.	The required travel path must stay clear.	⟦Thé réqúíréd trávél páth múst stáy cléár.áéíóúüñ¿¡áéíóúü⟧
placement.invalid	배치할 수 없는 위치다.	That position is invalid.	⟦Thát pósítíóñ ís íñválíd.áéíóúüñ¿¡⟧
placement.state.valid	[ 설치 가능 ]	[ VALID ]	⟦[ VALID ]áé⟧
placement.state.invalid	[ 설치 불가 ]	[ INVALID ]	⟦[ INVALID ]áéí⟧
placement.summary	{0}\n{1}	{0}\n{1}	⟦{0}\n{1}á⟧
message.reset	파도는 열심히 친다. 김씨도 일단 뭐라도 해보기로 했다.	The waves keep working. Mr. Kim decides he should, too.	⟦Thé wávés kéép wórkíñg. Mr. Kím décídés hé shóúld, tóó.áéíóúüñ¿¡áéíóúüñ¿¡áéí⟧
message.build.already	이미 지어 둔 물건이다. 김씨도 같은 걸 두 번 만들 만큼 한가하지 않다.	That is already built. Mr. Kim is not idle enough to build it twice.	⟦Thát ís álréády búílt. Mr. Kím ís ñót ídlé éñóúgh tó búíld ít twícé.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡⟧
message.build.materials	재료가 모자란다. 주머니를 털어도 모래만 나온다.	Not enough materials. Shaking out his pockets produces only sand.	⟦Ñót éñóúgh mátéríáls. Shákíñg óút hís póckéts pródúcés óñly sáñd.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ⟧
message.build.campfire	모닥불 완성. 불은 문명이고, 연기는 눈물이다.	Campfire complete. Fire is civilization; smoke is tears.	⟦Cámpfíré cómplété. Fíré ís cívílízátíóñ; smóké ís téárs.áéíóúüñ¿¡áéíóúüñ¿¡áéíó⟧
message.build.workbench	작업대 완성. 수평은 아니지만 물건은 올라간다.	Workbench complete. It is not level, but things stay on it.	⟦Wórkbéñch cómplété. Ít ís ñót lévél, bút thíñgs stáy óñ ít.áéíóúüñ¿¡áéíóúüñ¿¡áéíóú⟧
message.build.rain	빗물받이 완성. 비가 오면 김씨가 이긴다.	Rain collector complete. If it rains, Mr. Kim wins.	⟦Ráíñ cólléctór cómplété. Íf ít ráíñs, Mr. Kím wíñs.áéíóúüñ¿¡áéíóúüñ¿¡á⟧
message.research.workbench	연구하려면 먼저 작업대가 필요하다.	Research requires a workbench first.	⟦Réséárch réqúírés á wórkbéñch fírst.áéíóúüñ¿¡áéíó⟧
message.research.unavailable	연구 재료가 부족하거나 이미 알아낸 방법이다.	The research lacks materials or is already known.	⟦Thé réséárch lácks mátéríáls ór ís álréády kñówñ.áéíóúüñ¿¡áéíóúüñ¿¡á⟧
message.research.axe	연구 완료: 돌과 나무를 묶으면 제법 도끼처럼 보인다.	Research complete: tie stone to wood and it looks surprisingly axe-like.	⟦Réséárch cómplété: tíé stóñé tó wóód áñd ít lóóks súrprísíñgly áxé-líké.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡á⟧
message.research.rope	연구 완료: 줄은 묶는 법보다 안 풀리게 하는 법이 중요했다.	Research complete: tying rope matters less than keeping it tied.	⟦Réséárch cómplété: tyíñg rópé máttérs léss tháñ kéépíñg ít tíéd.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ⟧
message.craft.unavailable	제작법이나 재료를 다시 확인해야 한다.	Check the recipe and materials again.	⟦Chéck thé récípé áñd mátéríáls ágáíñ.áéíóúüñ¿¡áéíóú⟧
message.craft.axe	돌도끼 완성. 이제 나무를 한 토막 더 챙긴다.	Stone axe complete. Each wood haul now brings one extra piece.	⟦Stóñé áxé cómplété. Éách wóód háúl ñów bríñgs óñé éxtrá píécé.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúü⟧
message.craft.rope	밧줄 완성. 구조 신호대의 마지막 안테나를 세울 준비가 됐다.	Rope complete. The final rescue-signal antenna is ready to be raised.	⟦Rópé cómplété. Thé fíñál réscúé-sígñál áñtéññá ís réády tó bé ráíséd.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡⟧
message.signal.workbench	1단계에는 작업대가 필요하다. 현재 작업대가 없다.	Stage 1 requires a workbench. No workbench is available.	⟦Stágé 1 réqúírés á wórkbéñch. Ñó wórkbéñch ís áváíláblé.áéíóúüñ¿¡áéíóúüñ¿¡áéíó⟧
message.signal.rope	2단계에는 밧줄이 필요하다. 현재 밧줄이 없다.	Stage 2 requires rope. No rope is available.	⟦Stágé 2 réqúírés rópé. Ñó rópé ís áváíláblé.áéíóúüñ¿¡áéíóúüñ⟧
message.signal.materials	나무와 표류물이 부족하다. 현재 나무 {0}/2, 표류물 {1}/2.	Wood and salvage are short. Current: Wood {0}/2, Salvage {1}/2.	⟦Wóód áñd sálvágé áré shórt. Cúrréñt: Wóód {0}/2, Sálvágé {1}/2.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúü⟧
message.signal.wood	나무가 부족하다. 현재 {0}/2.	Not enough wood. Current: {0}/2.	⟦Ñót éñóúgh wóód. Cúrréñt: {0}/2.áéíóúüñ¿¡áé⟧
message.signal.salvage	표류물이 부족하다. 현재 {0}/2.	Not enough salvage. Current: {0}/2.	⟦Ñót éñóúgh sálvágé. Cúrréñt: {0}/2.áéíóúüñ¿¡áéíó⟧
message.signal.stage1	구조 신호대 골격 완성. 멀리서 보면 꽤 그럴듯하다.	Signal frame complete. From far away it looks almost convincing.	⟦Sígñál frámé cómplété. Fróm fár áwáy ít lóóks álmóst cóñvíñcíñg.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ⟧
message.signal.stage2	구조 신호 발신! 김씨의 엉성함이 마침내 주파수를 탔다.	Rescue signal sent! Mr. Kim's improvisation has finally found a frequency.	⟦Réscúé sígñál séñt! Mr. Kím's ímpróvísátíóñ hás fíñálly fóúñd á fréqúéñcy.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡áé⟧
message.camp.use.none	{0}m 안에 사용할 설비가 없다. 김씨가 조금 더 가까이 가야 한다.	No usable facility is within {0}m. Mr. Kim needs to move closer.	⟦Ñó úsáblé fácílíty ís wíthíñ {0}m. Mr. Kím ñééds tó móvé clósér.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ⟧
message.camp.use.too_far	{0} 사용·재배치는 {1}m 안에서만 가능하다.	Use or relocation of {0} requires being within {1}m.	⟦Úsé ór rélócátíóñ óf {0} réqúírés béíñg wíthíñ {1}m.áéíóúüñ¿¡áéíóúüñ¿¡áé⟧
message.camp.use.signal_too_far	구조 신호 자원 투입은 신호대 {0}m 안에서만 가능하다.	Rescue-signal resources can only be invested within {0}m of the signal.	⟦Réscúé-sígñál résóúrcés cáñ óñly bé íñvéstéd wíthíñ {0}m óf thé sígñál.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡á⟧
message.camp.use.workbench	작업대 사용 가능. 가까이 선 채 연구·제작 행동을 고르자.	Workbench in range. Choose a research or crafting action while nearby.	⟦Wórkbéñch íñ ráñgé. Chóósé á réséárch ór cráftíñg áctíóñ whílé ñéárby.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡⟧
message.camp.use.campfire	모닥불 휴식 준비 완료. 오늘 정산에 모닥불 보너스가 적용된다.	Campfire rest prepared. Its bonus will apply at today's settlement.	⟦Cámpfíré rést prépáréd. Íts bóñús wíll ápply át tódáy's séttléméñt.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿⟧
message.camp.use.rain	빗물을 받아 두었다. 오늘 정산에 빗물받이 보너스가 적용된다.	Rainwater collected. Its bonus will apply at today's settlement.	⟦Ráíñwátér cólléctéd. Íts bóñús wíll ápply át tódáy's séttléméñt.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ⟧
message.workbench.repair.ready	수리 점검 완료. 지금 손볼 설비는 없다.	Repair inspection complete. Nothing needs fixing right now.	⟦Répáír íñspéctíóñ cómplété. Ñóthíñg ñééds fíxíñg ríght ñów.áéíóúüñ¿¡áéíóúüñ¿¡áéíóú⟧
message.food.none	먹을 것이 없다. 코코넛 그림이라도 그려 볼까.	Nothing to eat. Perhaps drawing a coconut would help.	⟦Ñóthíñg tó éát. Pérháps dráwíñg á cócóñút wóúld hélp.áéíóúüñ¿¡áéíóúüñ¿¡áé⟧
message.food.full	지금은 배가 충분히 부르다.	He is full enough for now.	⟦Hé ís fúll éñóúgh fór ñów.áéíóúüñ¿¡⟧
message.food.eaten	식사 완료. 메뉴 이름은 '그냥 익힌 것'이다.	Meal complete. The dish is called 'Something Cooked.'	⟦Méál cómplété. Thé dísh ís cálléd 'Sóméthíñg Cóókéd.'áéíóúüñ¿¡áéíóúüñ¿¡áé⟧
message.search.finished	오늘 수색은 끝났다. 캠프를 정리하고 다음 날로 넘어가자.	Today's expedition is over. Tend camp and move to the next day.	⟦Tódáy's éxpédítíóñ ís óvér. Téñd cámp áñd móvé tó thé ñéxt dáy.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúü⟧
message.search.unavailable	지금은 수색을 시작할 수 없다.	An expedition cannot start right now.	⟦Áñ éxpédítíóñ cáññót stárt ríght ñów.áéíóúüñ¿¡áéíóú⟧
message.search.begin	김씨 출발. 해 지기 전에는 돌아오는 것이 소박한 목표다.	Mr. Kim sets out. Returning before sunset is the modest goal.	⟦Mr. Kím séts óút. Rétúrñíñg béfóré súñsét ís thé módést góál.áéíóúüñ¿¡áéíóúüñ¿¡áéíóúü⟧
